amount,type,k_symbol,operation,datetime,age,account_id
5152.86,CREDIT,,CREDIT IN CASH,1993-07-13,24,1
2724.94,DEBIT,,CASH WITHDRAWAL,1993-07-20,24,1
107.54,CREDIT,INTEREST CREDITED,,1993-07-31,24,1
11.99,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-07-31,24,1
145.37,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-08-05,24,1
2127.17,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-08-06,24,1
319.79,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-08-08,24,1
7182.15,CREDIT,,CREDIT IN CASH,1993-08-08,24,1
1821.38,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-08-12,24,1
2549.22,DEBIT,,CASH WITHDRAWAL,1993-08-14,24,1
3189.04,DEBIT,,CASH WITHDRAWAL,1993-08-21,24,1
99.61,CREDIT,INTEREST CREDITED,,1993-08-31,24,1
11.08,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-08-31,24,1
1036.36,DEBIT,,CASH WITHDRAWAL,1993-09-03,24,1
631.14,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-09-06,24,1
2412.14,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-09-09,24,1
2625.24,DEBIT,,CASH WITHDRAWAL,1993-09-10,24,1
2533.12,DEBIT,,CASH WITHDRAWAL,1993-09-12,24,1
778.71,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-09-13,24,1
2919.98,DEBIT,,CASH WITHDRAWAL,1993-09-15,24,1
3261.97,DEBIT,,CASH WITHDRAWAL,1993-09-22,24,1
108.12,CREDIT,INTEREST CREDITED,,1993-09-30,24,1
4988.28,CREDIT,,CREDIT IN CASH,1993-09-30,24,1
13.62,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-09-30,24,1
2062.23,DEBIT,,CASH WITHDRAWAL,1993-10-02,24,1
1370.85,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-05,24,1
353.21,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-10-06,24,1
3046.77,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-08,24,1
6525.65,CREDIT,,CREDIT IN CASH,1993-10-09,24,1
1584.79,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-11,24,1
684.9,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-10-12,24,1
2302.92,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-14,24,1
631.83,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-10-14,24,1
6522.04,CREDIT,,CREDIT IN CASH,1993-10-24,24,1
135.38,CREDIT,INTEREST CREDITED,,1993-10-31,24,1
8.38,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-10-31,24,1
364.89,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-11-05,24,1
1806.57,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-11-07,24,1
5160.1,CREDIT,,CREDIT IN CASH,1993-11-10,24,1
1782.26,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-11-11,24,1
5840.29,CREDIT,,CREDIT IN CASH,1993-11-12,24,1
693.23,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-11-12,24,1
2680.82,DEBIT,,CASH WITHDRAWAL,1993-11-20,24,1
124.77,CREDIT,INTEREST CREDITED,,1993-11-30,24,1
10.46,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-11-30,24,1
1168.45,DEBIT,,CASH WITHDRAWAL,1993-12-05,24,1
1367.78,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-12-05,24,1
3147.52,DEBIT,,CASH WITHDRAWAL,1993-12-09,24,1
4297.32,CREDIT,,CREDIT IN CASH,1993-12-09,24,1
1900.51,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-12-12,24,1
3155.43,DEBIT,,CASH WITHDRAWAL,1993-12-14,24,1
133.75,CREDIT,INTEREST CREDITED,,1993-12-31,24,1
9.84,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-12-31,24,1
2408.05,DEBIT,,CASH WITHDRAWAL,1993-06-14,55,2
8977.22,CREDIT,,CREDIT IN CASH,1993-06-17,55,2
115.37,CREDIT,INTEREST CREDITED,,1993-06-30,55,2
28.62,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-06-30,55,2
6738.17,CREDIT,,CREDIT IN CASH,1993-07-05,55,2
3486.86,DEBIT,,CASH WITHDRAWAL,1993-07-15,55,2
151.99,CREDIT,INTEREST CREDITED,,1993-07-31,55,2
11.23,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-07-31,55,2
10167.76,CREDIT,,CREDIT IN CASH,1993-08-05,55,2
6269.58,DEBIT,,CASH WITHDRAWAL,1993-08-06,55,2
228.28,CREDIT,INTEREST CREDITED,,1993-08-31,55,2
8.14,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-08-31,55,2
4905.64,DEBIT,,CASH WITHDRAWAL,1993-09-03,55,2
12498.4,CREDIT,,CREDIT IN CASH,1993-09-08,55,2
6800.95,DEBIT,,CASH WITHDRAWAL,1993-09-13,55,2
4129.24,DEBIT,,CASH WITHDRAWAL,1993-09-18,55,2
175.46,CREDIT,INTEREST CREDITED,,1993-09-30,55,2
11.25,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-09-30,55,2
10270.4,CREDIT,,CREDIT IN CASH,1993-10-05,55,2
7555.49,DEBIT,,CASH WITHDRAWAL,1993-10-10,55,2
1566.86,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-10-13,55,2
3225.7,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-14,55,2
131.91,CREDIT,INTEREST CREDITED,,1993-10-31,55,2
11.2,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-10-31,55,2
3453.7,DEBIT,,CASH WITHDRAWAL,1993-11-05,55,2
12526.66,CREDIT,,CREDIT IN CASH,1993-11-10,55,2
908.29,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-11-11,55,2
2670.74,DEBIT,,CASH WITHDRAWAL,1993-11-12,55,2
5700.5,DEBIT,,CASH WITHDRAWAL,1993-11-16,55,2
144.2,CREDIT,INTEREST CREDITED,,1993-11-30,55,2
10.38,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-11-30,55,2
9849.01,CREDIT,,CREDIT IN CASH,1993-12-04,55,2
4595.8,DEBIT,,CASH WITHDRAWAL,1993-12-09,55,2
1064.33,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-12-13,55,2
1774.39,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-12-14,55,2
118.47,CREDIT,INTEREST CREDITED,,1993-12-31,55,2
12.21,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-12-31,55,2
4627.03,DEBIT,,CASH WITHDRAWAL,1994-01-05,55,2
6574.53,CREDIT,,CREDIT IN CASH,1994-01-28,55,2
73.78,CREDIT,INTEREST CREDITED,,1994-01-31,55,2
15.99,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-01-31,55,2
7900.7,CREDIT,,CREDIT IN CASH,1994-02-05,55,2
1775.88,DEBIT,,CREDIT CARD WITHDRAWAL,1994-02-20,55,2
4546.5,DEBIT,,CASH WITHDRAWAL,1994-02-24,55,2
11035.21,CREDIT,,CREDIT IN CASH,1994-02-25,55,2
5450.71,DEBIT,,CASH WITHDRAWAL,1994-02-26,55,2
153.28,CREDIT,INTEREST CREDITED,,1994-02-28,55,2
13.58,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-02-28,55,2
10740.8,CREDIT,,CREDIT IN CASH,1994-03-05,55,2
6625.18,DEBIT,,CASH WITHDRAWAL,1994-03-17,55,2
6240.62,DEBIT,,CASH WITHDRAWAL,1994-03-23,55,2
143.92,CREDIT,INTEREST CREDITED,,1994-03-31,55,2
15.06,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-03-31,55,2
6982.75,CREDIT,,CREDIT IN CASH,1994-04-02,55,2
11073.26,CREDIT,,CREDIT IN CASH,1994-04-11,55,2
1167.86,DEBIT, ,REMITTANCE TO ANOTHER BANK,1994-04-12,55,2
2671.03,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-04-13,55,2
4109.15,DEBIT,,CASH WITHDRAWAL,1994-04-21,55,2
208.85,CREDIT,INTEREST CREDITED,,1994-04-30,55,2
10.7,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-04-30,55,2
10517.0,CREDIT,,CREDIT IN CASH,1994-05-05,55,2
4842.35,DEBIT,,CASH WITHDRAWAL,1994-05-14,55,2
1540.14,DEBIT,,CREDIT CARD WITHDRAWAL,1994-05-15,55,2
171.67,CREDIT,INTEREST CREDITED,,1994-05-31,55,2
15.94,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-05-31,55,2
8790.11,CREDIT,,CREDIT IN CASH,1994-06-01,55,2
5750.22,DEBIT,,CASH WITHDRAWAL,1994-06-10,55,2
1274.39,DEBIT, ,REMITTANCE TO ANOTHER BANK,1994-06-10,55,2
2478.16,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-06-12,55,2
148.71,CREDIT,INTEREST CREDITED,,1994-06-28,55,2
12.58,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-06-30,55,2
15.18,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-06-30,55,2
7039.54,CREDIT,,CREDIT IN CASH,1994-07-06,55,2
5737.3,DEBIT,,CASH WITHDRAWAL,1994-07-08,55,2
609.76,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1994-07-09,55,2
983.36,DEBIT, ,REMITTANCE TO ANOTHER BANK,1994-07-10,55,2
3040.12,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-07-12,55,2
4586.49,DEBIT,,CASH WITHDRAWAL,1994-07-14,55,2
3951.65,DEBIT,,CASH WITHDRAWAL,1994-07-20,55,2
177.22,CREDIT,INTEREST CREDITED,,1994-07-31,55,2
1752.89,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-10-15,24,3
2483.12,DEBIT,,CASH WITHDRAWAL,1993-10-23,24,3
124.71,CREDIT,INTEREST CREDITED,,1993-10-31,24,3
7.94,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-10-31,24,3
2605.87,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-11-08,24,3
12005.72,CREDIT,,COLLECTION FROM ANOTHER BANK,1993-11-09,24,3
89.89,CREDIT,INTEREST CREDITED,,1993-11-30,24,3
13.31,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-11-30,24,3
197.22,DEBIT,INSURANCE PAYMENT,REMITTANCE TO ANOTHER BANK,1993-12-07,24,3
2185.95,DEBIT,,CASH WITHDRAWAL,1993-12-08,24,3
8481.94,CREDIT,,COLLECTION FROM ANOTHER BANK,1993-12-11,24,3
2709.41,DEBIT,,CASH WITHDRAWAL,1993-12-24,24,3
84.53,CREDIT,INTEREST CREDITED,,1993-12-31,24,3
9.24,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-12-31,24,3
4806.53,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-01-05,24,3
622.56,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-01-06,24,3
4742.97,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-01-14,24,3
65.07,CREDIT,INTEREST CREDITED,,1994-01-31,24,3
14.76,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-01-31,24,3
1922.5,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-02-05,24,3
2007.21,DEBIT,,CASH WITHDRAWAL,1994-02-05,24,3
1485.65,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-02-09,24,3
7542.29,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-02-12,24,3
73.75,CREDIT,INTEREST CREDITED,,1994-02-28,24,3
12.09,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-02-28,24,3
634.1,DEBIT,,CASH WITHDRAWAL,1994-03-04,24,3
3928.37,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-03-06,24,3
1308.16,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-03-06,24,3
3864.84,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-03-09,24,3
2332.49,DEBIT,,CASH WITHDRAWAL,1994-03-09,24,3
5140.38,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-03-14,24,3
2525.06,DEBIT,,CASH WITHDRAWAL,1994-03-26,24,3
84.0,CREDIT,INTEREST CREDITED,,1994-03-31,24,3
16.68,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-03-31,24,3
621.33,DEBIT,,CASH WITHDRAWAL,1994-04-03,24,3
564.25,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-04-05,24,3
7192.5,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-04-09,24,3
54.24,CREDIT,INTEREST CREDITED,,1994-04-30,24,3
12.37,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-04-30,24,3
2179.41,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-05-05,24,3
855.38,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-05-07,24,3
3462.81,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-05-12,24,3
54.11,CREDIT,INTEREST CREDITED,,1994-05-31,24,3
10.44,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-05-31,24,3
465.39,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-06-05,24,3
2751.07,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-06-07,24,3
1581.8,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-06-11,24,3
43.71,CREDIT,INTEREST CREDITED,,1994-06-30,24,3
12.56,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-06-30,24,3
1487.84,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-07-05,24,3
1138.81,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-07-06,24,3
4932.12,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-07-11,24,3
2050.22,DEBIT,,CASH WITHDRAWAL,1994-07-21,24,3
2153.5,DEBIT,,CASH WITHDRAWAL,1994-07-21,24,3
84.21,CREDIT,INTEREST CREDITED,,1994-07-31,24,3
13.84,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-07-31,24,3
2126.69,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-08-05,24,3
1180.87,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-08-06,24,3
4349.53,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-08-10,24,3
1824.44,DEBIT,,REMITTANCE TO ANOTHER BANK,1994-08-12,24,3
67.92,CREDIT,INTEREST CREDITED,,1994-08-31,24,3
11.52,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-08-31,24,3
2256.72,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-09-05,24,3
1054.11,DEBIT,,CASH WITHDRAWAL,1994-09-05,24,3
7086.76,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-09-10,24,3
2034.26,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-09-12,24,3
61.34,CREDIT,INTEREST CREDITED,,1994-09-30,24,3
10.52,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-09-30,24,3
2600.63,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-10-06,24,3
504.11,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-10-06,24,3
3600.69,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-10-10,24,3
1251.28,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-10-14,24,3
69.15,CREDIT,INTEREST CREDITED,,1994-10-31,24,3
12.47,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1994-10-31,24,3
1497.55,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-11-05,24,3
905.12,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-11-06,24,3
6778.2,CREDIT,,COLLECTION FROM ANOTHER BANK,1994-11-10,24,3
1467.89,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1994-11-13,24,3
1723.55,DEBIT,,CASH WITHDRAWAL,1994-11-21,24,3
64.78,CREDIT,INTEREST CREDITED,,1994-11-30,24,3
1341.95,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-03-06,37,4
609.96,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-03-10,37,4
921.85,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-03-12,37,4
6680.21,CREDIT,,CREDIT IN CASH,1993-03-13,37,4
2907.08,DEBIT,,CASH WITHDRAWAL,1993-03-21,37,4
87.53,CREDIT,INTEREST CREDITED,,1993-03-31,37,4
16.91,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-03-31,37,4
1080.49,DEBIT,,CASH WITHDRAWAL,1993-04-04,37,4
326.3,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-04-06,37,4
1123.92,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-04-07,37,4
686.14,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-04-09,37,4
976.28,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-04-11,37,4
570.77,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-04-11,37,4
3613.9,CREDIT,,CREDIT IN CASH,1993-04-17,37,4
104.41,CREDIT,INTEREST CREDITED,,1993-04-30,37,4
12.68,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-04-30,37,4
330.65,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-05-05,37,4
974.04,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-05-07,37,4
375.99,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-05-09,37,4
1394.81,CREDIT,,CREDIT IN CASH,1993-05-18,37,4
110.31,CREDIT,INTEREST CREDITED,,1993-05-31,37,4
12.33,DEBIT,PAYMENT ON STATEMENT,CASH WITHDRAWAL,1993-05-31,37,4
373.22,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-06-05,37,4
800.59,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-06-07,37,4
348.86,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-06-07,37,4
1343.55,DEBIT,HOUSEHOLD,REMITTANCE TO ANOTHER BANK,1993-06-09,37,4
210.73,DEBIT, ,REMITTANCE TO ANOTHER BANK,1993-06-11,37,4
